production_number | air_date                    | title
CP-408            | 1991-10-05                  | Kansas City 8
CP-409            | 1991-09-28                  | Pittsburgh, PA 3
CP-410            | 1991-10-26                  | Pittsburgh, PA 4
CP-411            | 1991-12-21                  | Pittsburgh, PA 5
CP-412            | 1991-11-02                  | Pittsburgh, PA 6
CP-413            | 1992-01-04                  | Pittsburgh, PA 7
CP-414            | 1992-02-07                  | U.S. Marshals Service Special
CP-415            | 1991-11-16                  | Boston, MA 1
CP-416            | 1991-11-09                  | Boston, MA 2
CP-417            | 1991-11-23                  | Boston, MA 3
CP-418            | 1992-03-21                  | Boston, MA 4
CP-419            | 1991-12-07                  | Boston, MA 5
CP-420            | 1991-12-14                  | Boston, MA 6
CP-421            | 1992-04-04                  | Boston, MA 7
CP-422            | 1992-01-11                  | Memphis, TN 1
CP-423            | 1992-01-18                  | Memphis, TN 2
CP-424            | 1992-01-25                  | Memphis, TN 3
CP-425            | 1992-02-15                  | Memphis, TN 4
CP-426            | 1992-05-30                  | Memphis, TN 5
CP-427            | 1992-02-01                  | Memphis, TN 6
CP-428            | 1992-03-07                  | Miami, FL 1
CP-429            | 1992-02-22                  | Miami, FL 2
CP-430            | 1992-02-22                  | Miami, FL 3
CP-431            | 1992-03-14                  | South Florida 1
CP-432            | 1992-03-21                  | Miami, FL 4
CP-433            | 1992-04-11                  | South Florida 2
CP-434            | 1992-05-30                  | Miami, FL 5
CP-435            | 1992-04-25                  | Miami, FL 6
CP-436            | 1992-05-02                  | Miami, FL 7
CP-437            | 1992-06-13                  | Miami, FL 8
CP-438            | 1992-05-09                  | Miami, FL 9
CP-439            | 1992-05-16                  | Miami, FL 10
CP-440            | 1992-06-27                  | Miami, FL 11
CP-441            | 1992-08-01                  | Washington State 1
CP-442            | 1992-12-12                  | Washington State 2
CP-443            | 1992-06-20                  | Pierce County WA 1
CP-444            | 1992-08-08                  | Pierce County WA 2
CP-445            | 1992-08-15                  | Pierce County WA 3

CP-501            | 1992-10-03                  | Pierce County WA 4
CP-502            | 1992-09-19                  | Pierce County WA 5
CP-503            | 1992-09-26                  | Pierce County WA 6
CP-504            | 1992-12-05                  | Pierce County WA 7
CP-505            | 1992-12-19                  | Pierce County WA 8
CP-506            | 1993-01-02                  | Pierce County WA 9
CP-507            | 1992-11-07                  | Homicide USA Special
CP-508            | 1992-10-31                  | Denver, CO 1
CP-509            | 1992-11-14                  | Denver, CO 2
CP-510            | 1992-11-21                  | Denver, CO 3
CP-511            | 1993-01-09                  | Denver, CO 4
CP-512            | 1993-01-16                  | Denver, CO 5
CP-513            | 1993-01-23                  | Denver, CO 6
CP-514            | 1993-01-30                  | Denver, CO 7
CP-515            | 1993-03-06                  | Denver, CO 8
CP-516            | 1993-04-10                  | Denver, CO 9
CP-517            | 1993-07-03                  | DEA 1 Hour Special
CP-518            | 1993-09-04                  | San Bernardino, CA 1
CP-519            | 1992-08-22                  | Philadelphia, PA 1
CP-520            | 1992-08-29                  | Philadelphia, PA 2
CP-521            | 1992-08-15                  | Philadelphia, PA 3
CP-522            | 1992-09-05                  | Philadelphia, PA 4
CP-523            | 1992-09-12                  | Philadelphia, PA 5
CP-524            | 1992-10-10                  | Philadelphia, PA 6
CP-525            | 1992-10-24                  | Philadelphia, PA 7
CP-526            | 1993-02-06                  | Fort Worth, TX 1
CP-527            | 1993-02-13                  | Fort Worth, TX 2
CP-528            | 1993-02-20                  | Fort Worth, TX 3
CP-529            | 1993-02-27                  | Fort Worth, TX 4
CP-530            | 1993-03-20                  | Fort Worth, TX 5
CP-531            | 1993-03-27                  | Fort Worth, TX 6
CP-532            | 1993-04-03                  | Fort Worth, TX 7
CP-533            | 1993-04-17                  | Fort Worth, TX 8
CP-534            | 1993-04-24                  | Fort Worth, TX 9
CP-535            | 1993-05-15                  | Fort Worth, TX 10
CP-536            | 1993-05-22                  | Fort Worth, TX 11
CP-537            | 1993-05-16                  | Fort Worth, TX 12
CP-538            | 1993-06-05                  | Phoenix, AZ 1
CP-539            | 1993-05-08                  | Phoenix, AZ 2
CP-540            | 1993-05-01                  | Phoenix, AZ 3
CP-541            | 1993-06-26                  | Phoenix, AZ 4
CP-542            | 1993-07-10                  | San Bernardino, CA 2
CP-543            | 1993-07-17                  | San Bernardino, CA 3
CP-544            | 1993-07-24                  | San Bernardino, CA 4
CP-545            | 1993-07-31                  | San Bernardino, CA 5
CP-546            | 1993-05-29                  | United States Hour Special

CP-601            | 1994-01-15                  | Sacramento, CA 1
CP-602            | 1993-11-09                  | Sacramento, CA 2
CP-603            | 1993-10-16                  | Sacramento, CA 3
CP-604            | 1993-10-23                  | Sacramento, CA 4
CP-605            | 1993-10-30                  | Sacramento, CA 5
CP-606            | 1994-01-29                  | Sacramento, CA 6
CP-607            | 1994-03-26                  | Sacramento, CA 7
CP-608            | 1994-04-09                  | Sacramento, CA 8
CP-609            | 1994-04-23                  | Sacramento, CA 9
CP-610            | 1993-08-07                  | Nashville, TN 1
CP-611            | 1993-08-14                  | Nashville, TN 2
CP-612            | 1993-08-21                  | Nashville, TN 3
CP-613            | 1993-08-28                  | Nashville, TN 4
CP-614            | 1993-09-11                  | Nashville, TN 5
CP-615            | 1993-09-15                  | Nashville, TN 6
CP-616            | 1993-09-25                  | Nashville, TN 7
CP-617            | 1994-06-04                  | Nashville, TN 8
CP-618            | 1993-11-02                  | Nashville, TN 9
CP-619            | 1994-12-17                  | El Paso, TX 1
CP-620            | 1993-12-18                  | El Paso, TX 2
CP-621            | 1994-01-08                  | El Paso, TX 3
CP-622            | 1994-02-19                  | El Paso, TX 4
CP-623            | 1994-03-05                  | El Paso, TX 5
CP-624            | 1994-03-19                  | El Paso, TX 6
CP-625            | 1994-04-02                  | El Paso, TX 7
CP-626            | 1994-09-03                  | Indianapolis, IN 1
CP-627            | 1994-09-10                  | Indianapolis, IN 2
CP-628            | 1993-11-06                  | In Hot Pursuit
CP-629            | 1993-11-13                  | Cleveland, OH 1
CP-630            | 1993-11-20                  | Cleveland, OH 2
CP-631            | 1993-11-27                  | Cleveland, OH 3
CP-632            | 1993-12-04                  | Cleveland, OH 4
CP-633            | 1993-12-18                  | Cleveland, OH 5
CP-634            | 1993-12-11                  | Cleveland, OH 6
CP-635            | 1993-12-25                  | Cleveland, OH 7
CP-636            | 1994-02-26                  | Cleveland, OH 8
CP-637            | 1994-01-01                  | New York City Subway Special
CP-638            | 1994-07-09                  | Little Rock, AR 1
CP-639            | 1994-02-07                  | Little Rock, AR 2
CP-640            | 1994-04-16                  | Little Rock, AR 3
CP-641            | 1994-07-16                  | Little Rock, AR 4
CP-642            | 1994-04-30                  | Indianapolis, IN 3
CP-643            | 1994-09-17                  | Indianapolis, IN 4
CP-644            | 1994-05-07                  | Indianapolis, IN 5
CP-645            | 1994-09-24                  | Indianapolis, IN 6
CP-646            | 1994-06-18                  | Hong Kong Special

CP-701            | 1994-05-14                  | Los Angeles, CA 14
CP-702            | 1994-05-21                  | Los Angeles, CA 15
CP-703            | 1994-07-30                  | Los Angeles, CA 16
CP-704            | 1994-08-20                  | Los Angeles, CA 17
CP-705            | 1994-08-06                  | Los Angeles, CA 18
CP-706            | 1994-08-13                  | Los Angeles, CA 19
CP-707            | 1994-10-01                  | Los Angeles, CA 20
CP-708            | 1994-10-08                  | Los Angeles, CA 21
CP-709            | 1994-10-15                  | Los Angeles, CA 22
CP-710            | 1994-10-22                  | Los Angeles, CA 23
CP-711            | 1995-01-07                  | Los Angeles, CA 24
CP-712            | 1994-10-29                  | Los Angeles, CA 25
CP-713            | 1994-12-03                  | Los Angeles, CA 26
CP-714            | 1994-12-10                  | Los Angeles, CA 27
CP-715            | 1995-01-21                  | Los Angeles, CA 28
CP-716            | 1995-02-11                  | Las Vegas, NV 9
CP-717            | 1995-02-18                  | Las Vegas, NV 10
CP-718            | 1995-03-04                  | Las Vegas, NV 11
CP-719            | 1995-04-15                  | Las Vegas, NV 12
CP-720            | 1995-05-06                  | Las Vegas, NV 13
CP-721            | 1995-07-08                  | Las Vegas, NV 14
CP-722            | 1995-07-22                  | Las Vegas, NV 15
CP-723            | 1994-11-19                  | Kansas City 9
CP-724            | 1995-03-11                  | Kansas City 10
CP-725            | 1995-02-04                  | Kansas City 11
CP-726            | 1995-03-18                  | Kansas City 12
CP-727            | 1995-04-01                  | Kansas City 13
CP-728            | 1995-04-08                  | Kansas City 14
CP-729            | 1995-04-29                  | Kansas City 15
CP-730            | 1995-04-22                  | Kansas City 16
CP-731            | 1995-05-20                  | Los Angeles, CA 29
CP-732            | 1995-07-15                  | Los Angeles, CA 30
CP-733            | 1994-10-20                  | New York City 1
CP-734            | 1994-10-20                  | New York City 2
CP-735            | 1994-11-05                  | New York City 3
CP-736            | 1994-11-12                  | New York City 4
BOC-003           | 1995-06-03                  | Best of Cops 3
BOC-004           | 1995-06-10                  | Best of Cops 4
BOC-005           | 1995-06-17                  | Best of Cops 5
BOC-006           | 1995-06-24                  | Best of Cops 6
BOC-007           | 1995-07-01                  | Best of Cops 7

CP-801            | 1996-02-24                  | Mardi Gras 1995 Pt 1
CP-802            | 1996-02-17                  | Mardi Gras 1995 Pt 2
CP-803            | 1995-12-16                  | New Orleans, LA
CP-804            | 1995-09-30                  | Tampa, FL 3
CP-805            | 1995-10-14                  | Tampa, FL 4
CP-806            | 1995-11-25                  | Tampa, FL 5
CP-807            | 1995-07-29                  | Tampa, FL 6
CP-808            | 1995-11-18                  | Tampa, FL 7
CP-809            | 1996-03-02                  | Tampa, FL 8
CP-810            | 1996-03-16                  | Tampa, FL 9
CP-811            | 1996-03-23                  | Tampa, FL 10
CP-812            | 1995-09-16                  | Tampa, FL 11
CP-813            | 1995-10-28                  | Dallas, TX 1
CP-814            | 1995-09-23                  | Dallas, TX 2
CP-815            | 1995-11-11                  | Dallas, TX 3
CP-816            | 1995-09-09                  | Fort Worth, TX 14
CP-817            | 1995-12-02                  | Fort Worth, TX 15
CP-818            | 1996-03-30                  | Dallas, TX 4
CP-819            | 1996-05-11                  | Dallas, TX 5
CP-820            | 1995-10-07                  | Buffalo, NY 1
CP-821            | 1995-10-21                  | Buffalo, NY 2
CP-822            | 1995-12-09                  | Buffalo, NY 3
CP-823            | 1995-12-23                  | Buffalo, NY 4
CP-824            | 1996-01-06                  | Buffalo, NY 5
CP-825            | 1996-01-13                  | Buffalo, NY 6
CP-826            | 1996-01-27                  | Buffalo, NY 7
CP-827            | 1996-02-03                  | Albuquerque, NM 1
CP-828            | 1996-02-10                  | Albuquerque, NM 2
CP-829            | 1996-04-06                  | Albuquerque, NM 3
CP-830            | 1996-04-13                  | Albuquerque, NM 4
CP-831            | 1996-05-04                  | Albuquerque, NM 5
CP-832            | 1996-05-25                  | Albuquerque, NM 6
CP-833            | 1996-05-18                  | Albuquerque, NM 7
CP-834            | 1996-06-22                  | Albuquerque, NM 8
CP-835            | 1996-06-29                  | Albuquerque, NM 9
CP-836            | 1996-04-27                  | Orange County, CA 1
CP-837            | 1996-07-06                  | Orange County, CA 2
CP-838            | 1996-07-13                  | Orange County, CA 3
S-901             | 1996-02-05                  | Best Chases
S-902             | 1996-02-06                  | 911 Calls
S-903             | 1996-02-07                  | Best Drug Busts
S-904             | 1996-02-08                  | Best Stings
S-905             | 1996-02-09                  | Classic Cops

CP-901            | 1996-08-31                  | Miami, FL 11
CP-902            | 1996-09-07                  | Miami, FL 12
CP-903            | 1996-09-21                  | Miami, FL 13
CP-904            | 1996-09-28                  | Miami, FL 14
CP-905            | 1996-10-05                  | Miami, FL 15
CP-906            | 1996-10-12                  | Miami, FL 16
CP-907            | 1996-11-02                  | Miami, FL 17
CP-908            | 1996-11-02                  | Boston/New City, MA
CP-909            | 1996-11-09                  | Providence, RI 1
CP-910            | 1996-11-16                  | Providence, RI 2
CP-911            | 1996-09-23                  | Providence, RI/Boston 1
CP-912            | 1996-12-21                  | Providence, RI/Boston 2
CP-913            | 1996-11-30                  | Miami, FL 18
CP-914            | 1996-12-07                  | Miami, FL 19
CP-915            | 1997-01-04                  | Boston, MA 8
CP-916            | 1997-02-01                  | Pierce County WA 10
CP-917            | 1997-02-08                  | Pierce County WA 11
CP-918            | 1997-01-11                  | Pierce County WA 12
CP-919            | 1997-02-22                  | Pierce County WA 13
CP-920            | 1997-02-15                  | Pierce County WA 14
CP-921            | 1997-01-25                  | Pierce County WA 15
CP-922            | 1997-03-08                  | Pierce County WA 16
CP-923            | 1997-05-03                  | Pierce County WA 17
CP-924            | 1997-03-22                  | Pierce County WA 18
CP-925            | 1997-05-17                  | Pierce County WA 19
CP-926            | 1997-03-01                  | Pierce County WA 20
CP-927            | 1997-03-29                  | Fresno, CA 1
CP-928            | 1997-04-12                  | Fresno, CA 2
CP-929            | 1997-04-19                  | Fresno, CA 3
CP-930            | 1997-07-26                  | Fresno, CA 4
CP-931            | 1997-06-14                  | Fort Myers, FL 1
CP-932            | 1997-04-26                  | Fort Myers, FL 2
CP-933            | 1997-06-21                  | Fort Myers, FL 3
CP-934            | 1997-05-10                  | Fort Myers, FL 4
CP-935            | 1997-07-12                  | Fort Myers, FL 5
CP-936            | 1997-07-12                  | Fort Myers, FL 6

CP-1001           | 1997-10-25                  | Las Vegas, NV 16
CP-1002           | 1997-09-13                  | Las Vegas, NV 17
CP-1003           | 1997-10-04                  | Las Vegas, NV 18
CP-1004           | 1997-09-27                  | Las Vegas, NV 19
CP-1005           | 1997-09-20                  | Las Vegas, NV 20
CP-1006           | 1997-09-06                  | Las Vegas, NV 21
CP-1007           | 1997-10-11                  | Las Vegas, NV 22
CP-1008           | 1997-11-01                  | Las Vegas, NV 23
CP-1009           | 1997-11-15                  | Las Vegas, NV 24
CP-1010           | 1997-12-06                  | Las Vegas, NV 25
CP-1011           | 1997-12-13                  | Las Vegas, NV 26
CP-1012           | 1998-01-24                  | Las Vegas, NV 27
CP-1013           | 1998-03-14                  | Las Vegas, NV 28
CP-1014           | 1998-02-14                  | Las Vegas Prostitution Special
CP-1015           | 1997-11-08                  | Kansas City 17
CP-1016           | 1997-11-22                  | Kansas City 18
CP-1017           | 1998-01-10                  | Kansas City 19
CP-1018           | 1998-01-17                  | Kansas City 20
CP-1019           | 1998-01-31                  | Kansas City 21
CP-1020           | 1998-02-28                  | Kansas City 22
CP-1021           | 1998-03-07                  | Kansas City 23
CP-1022           | 1998-05-02                  | Kansas City 24
CP-1023           | 1998-05-16                  | Kansas City 25
CP-1024           | 1998-08-01                  | Kansas City 26
CP-1025           | 1998-04-04                  | Nashville, TN 11
CP-1026           | 1998-06-20                  | Nashville, TN 12
CP-1027           | 1998-06-27                  | Nashville, TN 13
CP-1028           | 1998-02-07                  | Texas 1
CP-1029           | 1998-04-18                  | Texas 2
CP-1030           | 1998-07-25                  | Texas 3
CP-1031           | 1998-03-21                  | Texas 4
CP-1032           | 1998-02-14                  | Texas 5
CP-1033           | 1998-04-25                  | Texas 6
CP-1034           | 1998-05-09                  | Texas 7
CP-1035           | 1998-07-18                  | Kansas City 27
CP-1036           | 1998-02-07                  | Sturgis Biker Rally 1997 Special

CP-1101           | 1998-10-24                  | Atlanta, GA 1
CP-1102           | 1998-09-12                  | Atlanta, GA 2
CP-1103           | 1998-10-03                  | Atlanta, GA 3
CP-1104           | 1998-09-19                  | Atlanta, GA 4
CP-1105           | 1998-09-26                  | Atlanta, GA 5
CP-1106           | 1998-10-24                  | Atlanta, GA 6
CP-1107           | 1998-10-10                  | Atlanta, GA 7
CP-1108           | 1998-12-05                  | Atlanta, GA 8
CP-1109           | 1998-12-19                  | Atlanta, GA 9
CP-1110           | 1999-01-09                  | Atlanta, GA 10
CP-1111           | 1999-01-16                  | Atlanta, GA 11
CP-1112           | 1999-01-23                  | Atlanta, GA 12
CP-1113           | 1999-03-06                  | Atlanta, GA 13
CP-1114           | 1998-10-31                  | Virginia Beach, VA 1
CP-1115           | 1998-11-07                  | Virginia Beach, VA 2
CP-1116           | 1999-03-13                  | Virginia Beach, VA 3
CP-1117           | 1998-11-14                  | Virginia Beach, VA 4
CP-1118           | 1998-11-21                  | Virginia Beach, VA 5
CP-1119           | 1999-04-03                  | Virginia Beach, VA 6
CP-1120           | 1999-01-30                  | Palm Beach, FL 1
CP-1121           | 1999-02-06                  | Palm Beach, FL 2
CP-1122           | 1999-06-12                  | Palm Beach, FL 3
CP-1123           | 1999-06-26                  | Palm Beach, FL 4
CP-1124           | 1999-09-04                  | Palm Beach, FL 5
CP-1125           | 1999-02-20                  | Palm Beach, FL 6
CP-1126           | 1999-06-19                  | Palm Beach, FL 7
CP-1127           | 1999-02-13                  | Palm Beach, FL 8
CP-1128           | 1999-03-27                  | Palm Beach, FL 9
CP-1129           | 1999-04-10                  | Palm Beach, FL 10
CP-1130           | 1999-04-24                  | Palm Beach, FL 11
CP-1131           | 1999-05-08                  | Arizona 1
CP-1132           | 1999-07-31                  | Arizona 2
CP-1133           | 1999-05-01                  | Arizona 3
CP-1134           | 1999-05-15                  | Arizona 4
CP-1135           | 1999-05-22                  | Arizona 5
CP-1136           | 1999-09-18                  | Arizona 6

CP-1201           | 1999-09-11                  | Indianapolis, IN 8
CP-1202           | 2000-01-15                  | Indianapolis, IN 9
CP-1203           | 1999-09-25                  | Indianapolis, IN 10
CP-1204           | 1999-10-09                  | Indianapolis, IN 11
CP-1205           | 1999-10-30                  | Indianapolis, IN 12
CP-1206           | 1999-12-11                  | Indianapolis, IN 13
CP-1207           | 1999-12-18                  | Indianapolis, IN 14
CP-1208           | 2000-01-15                  | Indianapolis, IN 15
CP-1209           | 1999-10-02                  | Indianapolis, IN 16
CP-1210           | 1999-11-06                  | Indianapolis, IN 17
CP-1211           | 1999-11-06                  | Fort Worth, TX 16
CP-1212           | 1999-11-20                  | Fort Worth, TX 17
CP-1213           | 1999-11-27                  | Fort Worth, TX 18
CP-1214           | 1999-12-04                  | Fort Worth, TX 19
CP-1215           | 1999-11-13                  | Fort Worth: Chases Special Edition
CP-1216           | 2000-01-08                  | Fort Worth, TX 21
CP-1217           | 2000-01-22                  | Fort Worth, TX 22
CP-1218           | 2000-01-29                  | Fort Worth, TX 23
CP-1219           | 2000-02-19                  | Fort Worth, TX 24
CP-1220           | 2000-03-04                  | Fort Worth, TX 25
CP-1221           | 2000-03-18                  | Fort Worth, TX 26
CP-1222           | 2000-03-25                  | Fort Worth, TX 27
CP-1223           | 2000-04-08                  | Fort Worth, TX 28
CP-1224           | 2000-04-22                  | Fort Worth, TX 29
CP-1225           | 2000-02-05                  | Albuquerque, NM 10
CP-1226           | 2000-02-12                  | Albuquerque, NM 11
CP-1227           | 2000-02-19                  | Albuquerque, NM 12
CP-1228           | 2000-02-26                  | Albuquerque, NM 13
CP-1229           | 2000-04-15                  | Albuquerque, NM 14
CP-1230           | 2000-04-29                  | Albuquerque, NM 15
CP-1231           | 2000-05-06                  | Albuquerque, NM 16
CP-1232           | 2000-05-13                  | Albuquerque, NM 17
CP-1233           | 2000-05-20                  | Albuquerque, NM 18
CP-1234           | 2000-07-15                  | Albuquerque, NM 19
CP-1235           | 2000-07-22                  | Albuquerque, NM 20
CP-1236           | 2000-07-29                  | Albuquerque, NM 21

CP-1301           | 2000-05-20                  | Jacksonville: Cops/AMW Crossover
CP-1302           | 2000-09-02                  | Jacksonville, FL 2
CP-1303           | 2000-08-26                  | Jacksonville, FL 3
CP-1304           | 2000-08-19                  | Jacksonville, FL 4
CP-1305           | 2000-09-09                  | Jacksonville, FL 5
CP-1306           | 2000-10-14                  | Jacksonville, FL 6
CP-1307           | 2000-12-02                  | Jacksonville, FL 7
CP-1308           | 2000-12-16                  | Jacksonville, FL 8
CP-1309           | 2001-01-06                  | Jacksonville, FL 9
CP-1310           | 2001-01-13                  | Jacksonville, FL 10
CP-1311           | 2001-01-20                  | Jacksonville: AMW Crossover Follow-Up
CP-1312           | 2001-01-27                  | Pierce County WA 21
CP-1313           | 2000-11-04                  | Pierce County WA 22
CP-1314           | 2000-11-11                  | Pierce County WA 23
CP-1315           | 2000-11-18                  | Pierce County WA 24
CP-1316           | 2000-11-25                  | Pierce County WA 25
CP-1317           | 2001-03-03                  | Pierce County WA 26
CP-1318           | 2001-03-10                  | Pierce County WA 27
CP-1319           | 2001-03-17                  | Pierce County WA 28
CP-1320           | 2000-11-04                  | Pierce County WA 29
CP-1321           | 2001-03-24                  | Pierce County WA 30
CP-1322           | 2001-04-07                  | Pierce County WA 31
CP-1323           | 2000-04-14                  | Pierce County WA 32
CP-1324           | 2001-04-28                  | Pierce County WA 33
CP-1325           | 2001-05-05                  | Pierce County WA 34
CP-1326           | 2001-05-12                  | Pierce County WA 35
CP-1327           | 2001-02-03                  | New Jersey 6
CP-1328           | 2001-02-10                  | New Jersey 7
CP-1329           | 2001-02-17                  | New Jersey 8
CP-1330           | 2001-02-24                  | New Jersey 9
CP-1331           | 2001-04-28                  | Arizona 7
CP-1332           | 2001-05-05                  | Arizona 8
CP-1333           | 2001-05-12                  | Arizona 9
CP-1334           | 2001-05-19                  | Arizona 10
CP-1335           | 2001-05-19                  | Mesa, AZ 1
CP-1336           | 2001-07-07                  | Mesa, AZ 2
CP-1337           | 2001-02-21                  | Caught in the Act
CP-1338           | 2001-02-24                  | Stupid Criminals AKA Dumbest Suspects
CP-1339           | 2001-02-25                  | Hot Pursuits AKA Intense Chases/Wildest Chases
CP-1340           | 2001-02-26                  | Animals in Danger AKA Ferocious Animals or Animal Encounters
S-1301            | 2001-05-??                  | Greatest Moments 2 hours

CP-1401           | 2001-12-01                  | Palm Beach County FL 12
CP-1402           | 2001-12-15                  | Palm Beach County FL 13
CP-1403           | 2002-01-05                  | Palm Beach County FL 14
CP-1404           | 2002-03-06                  | Palm Beach County FL 15
CP-1405           | 2002-03-23                  | Palm Beach County FL 16
CP-1406           | 2002-04-13                  | Palm Beach County FL 17
CP-1407           | 2002-04-20                  | Palm Beach County FL 18
CP-1408           | 2001-09-01                  | Palm Beach County FL 19
CP-1409           | 2001-09-01                  | Atlanta, GA 12
CP-1410           | 2001-09-08                  | Coast to Coast 1
CP-1411           | 2001-11-10                  | Coast to Coast 2
CP-1412           | 2001-09-15                  | Coast to Coast 3
CP-1413           | 2001-09-22                  | Coast to Coast 4
CP-1414           | 2001-09-29                  | Coast to Coast 5
CP-1415           | 2001-10-06                  | Coast to Coast 6
CP-1416           | 2001-11-17                  | Coast to Coast 7
CP-1417           | 2001-11-24                  | Coast to Coast 8
CP-1418           | 2001-12-01                  | Coast to Coast 9
CP-1419           | 2002-01-19                  | Coast to Coast 10
CP-1420           | 2002-02-02                  | Coast to Coast 11
CP-1421           | 2002-01-12                  | Coast to Coast 12
CP-1422           | 2002-01-26                  | Coast to Coast 13
CP-1423           | 2002-02-09                  | Coast to Coast 14
